,BFS_NUMMER,EINWOHNERZ,centroid
213,6432,646,3.9961436742322123 30.547956656957457
214,6075,438,3.9590206054316877 30.540416058790914
215,1151,7623,4.216279939478058 30.591384122298116
216,3103,3480,3.9835750408512065 30.544138735497157
217,5132,60,3.962395493058915 30.581826497338795
218,3733,1226,3.9610100767369842 30.5182993068871
219,6290,1632,3.9820823533610135 30.55161080051
220,1005,1778,3.963975068026033 30.545064222148863
221,785,4669,3.962766233630876 30.66044839550371
222,9153,-32768,3.94049575165711 30.52901261622303
223,3315,3715,4.007985730379025 30.54892629700408
224,9154,-32768,3.89689762178995 30.532800322148315
225,9180,-32768,3.91681769303042 30.556790821960252
226,6142,178,3.9303078462077674 30.59459308206197
227,3203,75310,4.022522835608095 30.550649107996918
228,5568,4766,4.033818440523143 30.55104472524854
229,1066,1686,3.9804832901827396 30.54536175166386
230,9149,-32768,3.8820260624866862 30.506618249943145
231,9711,-32768,3.991974869913163 30.552560728890562
232,6157,1843,3.852343845492163 30.545465539343397
233,3834,2478,4.10575737079515 30.504785961657095
234,6151,1284,4.227545438717263 30.78395533636008
235,5076,349,3.9771661577578663 30.52878953957507
236,1008,4111,3.9842731744836146 30.57005046298098
237,6282,203,3.9585688120692897 30.598768720574775
238,6133,8355,4.0625982704047345 30.507428431714125
239,1135,1307,3.9727912714817997 30.538285548984497
240,6002,12935,3.970934559755918 30.546300423820796
241,3837,187,3.9551538587994033 30.546478168061828
242,5129,91,3.9656287677597986 30.5466180766955
243,6087,869,3.9695334426457833 30.528955899696967
244,1007,663,3.9781082374195353 30.547946325571516
245,5586,133897,4.009593968213104 30.55090401092124
246,6137,2324,3.9817883522321935 30.547265452544753
247,6156,4453,4.00659128033546 30.54069060981387
248,904,1205,3.9636143940057034 30.54654945997059
249,763,1701,3.980515288035553 30.557019504035377
250,6809,955,3.7558495790499755 30.513643629706692
251,906,887,3.961666129433859 30.552751691104266
252,5226,6493,4.089671550409479 30.438497994926962
253,360,9011,3.8854861394448226 30.55437635805483
254,5238,4607,3.6900146801151994 30.832669793865303
255,2236,7025,4.129930781361583 30.553187325993758
256,2428,2436,3.8453711672496733 30.528412641369886
257,6056,530,3.9801060402011075 30.547797220163474
258,1210,196,3.9829267860282935 30.619593932958303
259,3695,128,4.010419247392388 30.589642495289993
260,3254,8630,3.677910340061426 30.387444107848406
261,6119,1111,3.9842955013979062 30.585642715407825
262,5886,26208,3.9109039528928875 30.538558264639878
263,5693,2430,3.5935547292332664 30.719176290131994
264,5018,231,3.941729146334042 30.528779255915676
265,3341,4973,3.9455511218033346 30.5497123655407
266,6159,3945,3.8839012941963666 30.550773091642238
267,2162,1242,4.00351092627207 30.538816041709012
268,3862,204,3.9697106330054885 30.539432006144477
269,1368,890,3.9827534748011004 30.56389047814924
270,761,835,3.980887525563087 30.511512762719533
271,6242,950,3.967274733891075 30.549878723319107
272,296,16693,3.249322582717453 30.52618326381514
273,3297,4552,3.963755739532213 30.593631930130954
274,5873,860,3.9984122450183865 30.55357935069561
275,6022,3461,3.8960949802102083 30.59263542872809
276,3616,343,3.997175352454702 30.491498025868967
277,3953,2740,3.9151774563871644 30.623330276822664
278,5254,14929,3.936143473003358 30.55773897278545
279,5414,5309,3.5844253355363733 30.395836704408996
280,9760,-32768,3.9208708689639957 30.49425844345844
281,564,783,5.940408029387568 45.80760929505881
282,538,4867,3.9290191207027956 30.56818856611548
283,5871,1450,4.007077995556119 30.563664352283897
284,880,1810,3.986071208758922 30.53610728926351
285,6757,2550,4.067036866788555 30.571519317871477
286,5566,377,4.067189680971289 30.539951604046607
287,786,584,3.9755595486356228 30.510453005460942
288,3575,1566,3.959644589526967 30.5589331668037
289,5285,1736,10.156866991683458 33.48498502402958
290,3444,3518,3.909663806886755 30.54602593613806
291,1132,1869,3.983355520485351 30.56160809868769
292,6730,2638,3.888149500884844 30.560010267981138
293,3661,2144,3.941658618335482 30.547284188902307
294,562,2176,3.9818377265277034 30.550350913481143
295,6810,1164,4.018005001717233 30.53711237766268
296,3251,11273,3.991633959120198 30.52484925041017
297,2293,7679,3.9326453139272033 30.553084060317058
298,4726,2592,1.1728303248525986 32.83001844203044
299,3275,4813,4.015530961295993 30.536624235295843
300,1136,2918,4.015141788812782 30.535600251578916
301,6199,1914,3.9534533168728743 30.560577576672337
302,114,2323,3.948466063697241 30.560510760781515
303,6289,367,3.916792340054876 30.517449574492883
304,1706,5950,3.452377833002831 30.54095586294696
305,1331,12395,4.0141469122816735 30.56468437394869
306,5136,246,3.9549480703220725 30.55279129316505
307,6152,8311,3.979400649970072 30.49879351914973
308,879,2460,3.9798815633151703 30.55634296451093
309,6104,189,3.9812295806885296 30.545286790094707
310,6266,33296,3.9663951290951074 30.5415912546152
311,297,4722,4.012136530698081 30.534419163859848
312,2336,1398,3.980544334837962 30.545869436673563
313,6281,-32768,3.9710555031545183 30.542941063964726
314,6511,718,3.98290958362924 30.620382610790053
315,571,1184,4.500354714187311 30.118750850019627
316,1062,6923,3.976548338155556 30.542369840267053
317,3787,5233,3.9628702952253865 30.503791129985004
318,6205,450,3.9451992943388006 30.448898969720837
319,1346,8921,3.9267412887216464 30.553217111461805
320,198,33412,4.346210596330251 30.50042178717211
321,9089,-32768,3.9327754551369867 30.529134292514264
322,3901,34547,3.9364191845790035 30.545671059499426
323,2135,2090,3.9809594793085044 30.548351799101887
324,424,2016,4.031332816576628 30.540997445881114
325,3693,157,3.967116679243148 30.5447171175662
326,1061,81057,3.985178428498234 30.536710905574015
327,3932,306,3.9541991140572548 30.43997255746866
328,1348,1032,3.978249159802013 30.578912893410926
329,6195,248,3.82925773981699 30.655598659731083
330,1704,4380,3.9953640602049147 30.53408308685619
331,3443,18053,3.9290449110230425 30.56489440616062
332,3946,2430,3.756709001634194 30.563440650952142
333,4566,24578,3.9508748054315923 30.561464925284817
334,5324,1457,3.958295190135156 30.53721842459422
335,1059,27229,3.96399843724751 30.538644250152554
336,1140,6892,3.7690869885783655 30.486475370752
337,6135,3002,3.950219146807621 30.55316959306432
338,724,741,3.9069592079607167 30.531784470291317
339,668,2826,3.939388448374554 30.539805754540215
340,9710,-32768,3.9406914139035387 30.556722477421335
341,2546,16480,4.04273122785533 30.4839730474939
342,3863,1184,3.967890625554138 30.577567179510627
343,5492,933,3.8477045870421933 30.561546063610983
344,1709,8477,3.9616442800931937 30.558645711097554
345,2053,4914,3.9434257920232754 30.551331214000243
346,6413,1196,3.9619398092519886 30.55047643264409
347,5105,104,3.949516432087719 30.546747906885578
348,3703,51,3.9927758682481698 30.543400770920453
349,3861,587,3.97060473382429 30.556566204595622
350,6423,947,3.9808991990631872 30.56244763448806
351,5269,2001,5.095534569948293 31.7843038264015
352,726,2061,3.939569340734963 30.532063881496164
353,3291,5705,3.9661072285609658 30.53539519946775
354,1093,6484,3.9749949624185485 30.539087295776323
355,120,9478,3.9672864985925926 30.541165282617598
356,228,4444,4.017205218925029 30.514567445607995
357,9154,-32768,3.953716280677121 30.53778676370723
358,3001,15512,3.9639883863364154 30.54501423135618
359,5425,1538,1.7450819607689345 31.598204742969195
360,1504,1363,3.9782459049910153 30.546554303399738
361,4666,2358,3.774920235388008 30.491614223392343
362,359,5075,3.9263115129788093 30.535422888181557
363,1701,23228,3.9037007995159083 30.568577779351084
364,5831,-32768,4.078307085127868 30.54427123877234
365,6239,558,3.947599478047305 30.508452203075294
366,6136,17342,4.011903646915664 30.548173838410978
367,446,4390,3.808036725759018 30.537598448230447
368,6291,1053,3.9770126679114677 30.582821297560457
369,3669,128,4.021212995841424 30.46780203427156
370,6742,1185,4.022310245413366 30.554282229589443
371,1501,3452,4.385278354521608 29.968891971899268
372,3102,1441,3.9950451516426355 30.53107833283725
373,690,1432,3.9878848964132936 30.532619589234802
374,3722,7745,3.9816213139978096 30.614979900371722
375,5805,5202,4.000300955831862 30.54211149891949
376,3712,410,4.041813400235254 31.042930177435306
377,5822,9389,3.9572393516436746 30.534726411619165
378,6232,3375,4.005364432325564 30.500317520902982
379,2134,806,3.968925427599056 30.56938874144674
380,5727,2356,3.9418112112944947 30.57229519387198
381,4816,1507,4.174208504818243 30.56905168810759
382,2149,1558,4.046350758661804 30.533890996111587
383,2113,2183,4.02198954255049 30.557729855406123
384,3002,989,3.9763046319567357 30.543902004615298
385,716,407,3.9660627232018184 30.54972391292861
386,6139,2902,3.9410352302866 30.579941305014806
387,5135,277,3.9564267786450342 30.538830421675847
388,1125,5118,3.9276832170295086 30.557330561088527
389,3782,1504,3.9680853758999075 30.540033771252045
390,2701,168620,4.047861588259891 30.556220341032297
391,2125,21464,4.006949692345979 30.528710655683323
392,496,3406,3.9864178380663 30.546833226359656
393,445,1238,3.993165036031317 30.525151206685972
394,450,1879,3.645584880290001 30.49576763017192
395,5842,554,3.973676042606439 30.542218344544967
396,1032,2481,3.81191693381923 30.63129492347763
397,9178,-32768,3.92266380619248 30.63387766938005
398,6436,10433,4.012007288842681 30.564390091155364
399,3781,620,3.98699774632038 30.616221209613258
400,861,11466,4.239035154068383 30.362301642352268
401,6141,5248,3.956444655197308 30.54865542643406
402,5764,3582,3.9968443199127974 30.550449445676
403,332,3149,3.9242482826784832 30.526758782626832
404,1030,5069,3.884971456511722 30.589273995015787
405,5607,2811,3.9499173457250425 30.54407302311874
406,6807,1260,4.340239584771377 30.578815339300206
407,1370,2292,3.9655659036839594 30.55153302909004
408,1361,598,3.9734549016845113 30.55044838498254
409,6073,190,3.94880830970393 30.561882860870643
410,6214,489,3.949950484824453 30.541245598184528
411,3781,620,3.985194209690115 30.68777130532841
412,2465,2496,3.9379835603673374 30.541245384525396
413,6118,1908,3.9645555174320957 30.56241562439883
414,2612,277,3.9823989621094023 30.54758469202154
415,1218,848,3.975167612215618 30.507673531797277
416,310,2571,3.8928439703011284 30.57730521636933
417,5745,1022,3.9458203620338765 30.55203149247469
418,3340,26722,3.9510272939217965 30.54518162861255
419,117,10799,3.938985020196049 30.547094666992635
420,3572,593,3.969345908499288 30.578805995992457
421,111,4993,3.983393614791952 30.55491070633531
422,582,434,3.967827541009514 30.557542411594618
423,434,1353,4.246595917709961 30.182232078829028
424,769,2430,3.9752086577952577 30.536591444765275
425,1104,4462,3.9874964882839694 30.548286172784596
426,6711,12485,4.318660277195107 30.498026087033818
427,3272,3267,3.974345135764602 30.54427803649732
428,407,1619,3.9622174366292597 30.541894208164774
429,9184,-32768,3.987466929118424 30.542885796256613
430,5304,52,3.9580102011446114 30.507555772634056
431,907,2714,3.9597772204840007 30.609024355225422
432,406,3299,3.986681018409434 30.539981760781558
433,5404,422,3.957057175744059 30.54175582050586
434,6201,404,3.983145354241301 30.545994022885107
435,924,485,3.941745832741652 30.54196926437907
436,5237,1400,4.069859520719151 30.523977423348807
437,3513,512,3.9493179041919952 30.37760860753289
438,3395,4603,3.9837733701545197 30.5354466512814
439,438,1194,4.032225194247569 30.55766063029724
440,2952,1704,3.9975113746358586 30.56344437464245
441,4184,1920,4.0631237546584 30.528413759893574
442,133,20033,4.160151137073314 30.47225763768506
443,670,4948,3.9545219691606857 30.546429407394257
444,942,43303,3.986722494722454 30.54370328234359
445,3022,3081,4.112322272820838 30.49822560014662
446,5282,2807,3.9975281032653793 30.551335225374146
447,1711,28603,3.833703880463664 30.437303477823136
448,903,2637,3.9852875110171877 30.553252248910855
449,371,53667,3.901011531419105 30.53448231349677
450,5464,2792,4.115292116046003 30.53406130486996
451,2974,1701,3.6139826426154262 30.550885156437722
452,5001,4703,3.9474813487044744 30.56709446992117
453,627,11423,3.9555374634502924 30.565414304217516
454,955,4054,4.03918661600277 30.55102579105149
455,1366,1123,3.9625052132622796 30.546842937684907
456,5703,1324,4.002605483476854 30.579107710189326
457,443,5083,3.976932161831337 30.522224486951345
458,6158,2389,3.868141173094799 30.12980360185307
459,3427,23715,3.883329870016614 30.566073182637183
460,312,2968,3.9949041313408724 30.548734581230732
461,1341,6666,3.9763585795641556 30.543050678839396
462,589,457,3.9608614169247343 30.517985584828693
463,6754,1814,3.9717105581231005 30.532835945358407
464,6238,2310,3.978698296466129 30.575280999299782
465,4239,4216,4.13185474935998 30.491277308396267
466,2099,2230,4.015487211196839 30.520196140851713
467,3372,907,3.9820107867823142 30.55011107462559
468,6021,3037,3.98160692943176 30.534817276298508
469,6153,-32768,3.9608198041069227 30.509637421489824
470,1024,29292,3.9925405701075896 30.544984701844275
471,5309,56,3.968786520881113 30.560159791279563
472,6790,1674,3.978957155117823 30.547238617058582
473,311,3680,3.968710695522222 30.550881663682972
474,4551,8599,3.8572603088318456 30.588117480613935
475,2920,5230,3.9567549370953583 30.5042410210202
476,2275,-32768,3.9325903608839634 30.561871508598895
477,1086,3104,3.9879972287759755 30.558732101242008
478,5491,373,3.967978143163907 30.500297592292693
479,5073,872,3.8296551502656224 30.487097158315244
480,6709,3149,-4.923347501539744 32.98846983309092
481,700,7629,3.979086866761249 30.53931588573308
482,414,2306,3.9751338020912383 30.542472276507862
483,177,11275,3.995919355508549 30.536632990973672
484,5451,4037,3.9525042197342963 30.545331489943873
485,2556,3221,0.049894796522165274 36.19791264259231
486,6181,508,3.9620851959917958 30.54462855976794
487,5286,1046,3.9599029346956423 30.54404963933454
488,6261,1176,3.9722755293833902 30.590499471038427
489,3835,754,3.9860142107617955 30.527562471264055
490,298,6123,4.116173962422131 30.589707581225962
491,62,18373,3.9897702733020886 30.54798579542766
492,591,96,3.978625082901701 30.54980645264183
493,5002,18131,3.910692470644265 30.55410906776935
494,6248,16547,3.9744326518773767 30.543219766928015
495,6458,33815,3.9857833961241464 30.55853507517834
496,4461,12814,3.690640756615301 30.551388715574003
497,4921,2222,3.8856980516761963 30.574482330117572
498,4254,10746,4.039093491760405 30.573365876871424
499,6638,4016,4.0333274935521315 30.572732693724223
500,4279,2876,4.008310221178378 30.519870918778647
501,5428,1921,3.963319800741709 30.564423046845043
502,2152,1444,3.9476576951469506 30.526497948975955
503,9269,-32768,3.9389092301810646 30.553789418852894
504,3313,4683,3.9568339760000453 30.570246996514268
505,6010,877,3.9628329454866167 30.5265506897777
506,5604,2073,4.003408057157826 30.53531352302981
507,717,3962,3.9791788114347724 30.53949304927637
508,5407,4125,3.9495336187390393 30.514078321697365
509,2932,4296,3.965457441287458 30.545900582206343
510,4411,4534,4.147836160080394 30.58764126455666
511,5284,563,5.952621507350762 45.81897645399524
512,1703,8841,4.04356462134467 30.504593735742233
513,2220,3104,3.9382090514346664 30.56765533815413
514,3881,209,3.9656551914674885 30.55433074520535
515,6784,2258,3.974981385575598 30.538297943535614
516,3941,1036,3.96130257662578 30.552618480038706
517,6437,1275,4.027465771888884 30.60875578210189
518,115,9773,3.9053836586219295 30.574233790605135
519,5097,1800,3.9738675024917764 30.53489331578825
520,6751,596,3.8833023963829465 30.578611919091323
521,2829,13956,4.105807923410155 30.534934562606498
522,9181,-32768,3.991138374256718 30.525396682547882
523,2300,1048,3.974244761414383 30.539418740195085
524,4169,2573,4.1858887228068955 30.55414132741085
525,142,21245,3.9594063044518224 30.555379870944464
526,5138,-32768,3.9660755672503845 30.56064890544256
527,2904,2051,3.974388594496939 30.533000593745285
528,6036,1825,3.9532675586188306 30.544870041476955
529,3424,4250,4.076161034189464 30.49177284251482
530,3104,1116,3.9844248007003267 30.53480191792239
531,1702,15523,3.9785829613175334 30.547949538151386
532,932,-32768,3.984488756463443 30.46909362669935
533,5804,1470,3.962958387079451 30.536924341373282
534,9052,-32768,3.9490382844705105 30.545823749758885
535,431,1650,3.9549632256024623 30.579373137163042
536,6719,359,4.002236238688178 30.55438091575397
537,1321,4986,3.9824730382230875 30.54843685275191
538,6198,679,3.9553658640881926 30.547238737114576
539,1139,2304,3.9549361533478233 30.552673621075378
540,5138,-32768,4.092309857138986 30.858620961976182
541,2936,838,3.9785590697661535 30.538021330462968
542,4821,1632,3.8428764481730546 30.55120851595603
543,6035,964,3.9627714982501305 30.550804426951306
544,2284,3495,3.961505194275813 30.554010929603795
545,6296,477,3.9919980418136847 30.551131225831625
546,2029,2274,3.9795636681355537 30.525748092928374
547,981,4448,3.4793531443380057 30.816578032078993
548,954,4680,3.9181829386560607 30.546048372934717
549,3004,1477,3.971311186230391 30.544005150820215
550,1371,1888,3.9565126314365315 30.551169293812116
551,905,2313,3.95927190074665 30.581963299899797
552,4951,2335,3.941704234537707 30.545692655524277
553,5137,317,3.964970359568184 30.534972673620224
554,5283,676,3.978178540426655 30.595964727266775
555,6435,499,4.032918956818903 30.601246507310144
556,626,1820,3.9687304249089204 30.537972720446305
557,4006,7257,5.569307538527232 31.08004913674387
558,329,15316,3.884224689042276 30.57346259607547
559,768,12555,3.962943822602032 30.597096178234487
560,2770,17538,4.942947394227274 30.10838157422239
561,552,4207,3.989583496359504 30.55186205151372
562,988,1528,3.982002624849421 30.53163995887408
563,3101,5750,3.9920839782881647 30.574756537956954
564,5552,596,3.977648334301226 30.551003411430614
565,6404,5496,3.9135466669492893 30.556207969698395
566,5078,415,3.9649027908749073 30.547171683255552
567,121,23938,4.232701237863592 29.91309205826163
568,1217,397,3.956008994032957 30.548272589720902
569,2302,1936,3.9303384711247618 30.55480531869518
570,578,339,3.9579460557527817 30.4412152245468
571,5726,1086,3.880969588733646 30.567950093632156
572,1083,3272,3.98384378605408 30.60058584455962
573,1039,1669,3.9594705103284937 30.554726791315705
574,3312,2879,3.955180335159686 30.544021395097886
